🐾 PawStreak Content Library — Master Asset Catalog,,,,,,,,,,,,,,,,,
ID,Date,Category,Description,Dogs Featured,Location,Media Type,Duration,Emotional Category,Platform Rec,Account Rec,Caption Angle,Hook Idea,Priority (1-10),Album Tags,Season,Hidden Gem?,Notes
B001,2024-07,Beach,"Bailey chasing waves, full sprint, tongue out",Bailey,"Del Mar, CA",Video,0:15,Joy / Freedom,Reels,@BaileyHuskeyCream,Run free with me,POV: Your dog sees the ocean for the 100th time and still loses her mind,9,"Beach, Launch Week",Summer,No,Perfect loop — end where you start
B002,2024-07,Beach,"Omi standing in shallow water, contemplative",Omi,"Coronado Beach, CA",Photo,—,Peaceful / Senior,"Stories, TikTok",@BaileyHuskeyCream,"Old dog, endless sea",She's been coming here for 9 years. She still stops and stares.,8,"Beach, Senior Dogs",Summer,No,Black dog + blue water contrast is stunning
B003,2024-07,Beach,Both dogs side by side at water's edge,Bailey + Omi,"Del Mar, CA",Photo,—,Together / Legacy,"Reels, Stories",Both accounts,Sisters at the shore,Two dogs. One beach. A thousand shared memories.,10,"Beach, Launch Week, Both Dogs",Summer,No,HERO SHOT — use for profile/cover
B004,2024-07,Beach,"Bailey digging in sand, completely focused",Bailey,"Del Mar, CA",Video,0:12,Silly / Playful,"Reels, TikTok",@BaileyHuskeyCream,She found a crab (spoiler: she didn't),Bailey has been digging this same hole for 3 years,7,Beach,Summer,No,Good for trending audio overlay
B005,2024-07,Beach,"Omi close-up, salt-wet fur, warm afternoon light",Omi,"Coronado Beach, CA",Photo,—,Tender / Aging,"Stories, Instagram",@BaileyHuskeyCream,9 years of beach days,Every gray hair tells a story,9,"Beach, Senior Dogs",Summer,No,Use for emotional storytelling posts
B006,2024-07,Beach,Bailey shaking water off mid-shake,Bailey,"Del Mar, CA",Video,0:08,Silly / Action,"Reels, TikTok",@BaileyHuskeyCream,POV: Standing too close,0.25x speed — trust me,7,Beach,Summer,No,Slow-mo potential — ask Stephen for full clip
B007,2024-07,Beach,"Golden hour, dogs silhouette against ocean",Bailey + Omi,"Del Mar, CA",Photo,—,Nostalgic / Beautiful,"Instagram, Stories",Both accounts,Chasing the same sunset,We don't know how many sunsets we have left. We chase every one.,10,"Beach, Launch Week, Golden Hour",Summer,No,TOP PRIORITY — emotional anchor post
B008,2024-07,Beach,Omi and Bailey playing together in shallow surf,Bailey + Omi,"Del Mar, CA",Video,0:20,Playful / Together,Reels,@BaileyHuskeyCream,Big dog energy + senior wisdom,These two are proof that age gaps don't matter in dog friendships,8,"Beach, Both Dogs",Summer,No,Great for upbeat trending audio
B009,2024-07,Beach,"Bailey looking out to sea, contemplative",Bailey,"Del Mar, CA",Photo,—,Dreamy / Adventure,Instagram,@BaileyHuskeyCream,What is she thinking about,Probably squirrels. Definitely squirrels.,7,Beach,Summer,No,Clean aesthetic shot
B010,2024-07,Beach,"Stephen and Bailey at shoreline, candid",Bailey + Stephen,"Del Mar, CA",Photo,—,Human-Dog Bond,Founder Stories,@PawStreakApp,The dog that started it all,I built PawStreak because of this girl,9,"Beach, Founder Story",Summer,No,Founder content — powerful origin story
S001,2025-02,Snow,Bailey bounding through deep powder,Bailey,"Flagstaff, AZ",Video,0:18,Joy / Wild,"Reels, TikTok",@BaileyHuskeyCream,She was BUILT for this,A Siberian Husky in snow is just a dog finally going home,10,"Snow, Launch Week",Winter,No,Peak husky content
S002,2025-02,Snow,"Bailey face-first in snowbank, head buried",Bailey,"Flagstaff, AZ",Video,0:12,Silly / Playful,"Reels, TikTok",@BaileyHuskeyCream,She went in face first and I didn't stop her,Husky discovers snow pile. Scientists baffled.,9,"Snow, Funny",Winter,No,Viral potential — classic husky moment
S003,2025-02,Snow,"Omi cautious in snow, testing with one paw",Omi,"Flagstaff, AZ",Photo,—,Cautious / Endearing,"Stories, Instagram",@BaileyHuskeyCream,Not everyone loves snow (and that's okay),Omi's face when Bailey drags her outside,8,"Snow, Senior Dogs",Winter,No,Great contrast to Bailey's snow chaos
S004,2025-02,Snow,"Both dogs in snow — Bailey running, Omi sitting",Bailey + Omi,"Flagstaff, AZ",Photo,—,Contrast / Character,"Reels, Instagram",Both accounts,Same snow. Different personalities.,Bailey: chaos. Omi: dignity. Both: perfect.,9,"Snow, Both Dogs, Launch Week",Winter,No,Character contrast post — very shareable
S005,2025-02,Snow,"Bailey looking up at falling snow, ethereal light",Bailey,"Flagstaff, AZ",Photo,—,Ethereal / Beautiful,Instagram,@BaileyHuskeyCream,She catches snowflakes like she's counting them,This is what peace looks like,9,"Snow, Aesthetic",Winter,No,Magazine quality — use for pinned post
S006,2025-02,Snow,"Trail in snow with dog tracks, no people",—,"Flagstaff, AZ",Photo,—,Cinematic / Atmosphere,"Instagram, Stories",@PawStreakApp,Every trail tells a story,PawStreak remembers every one of them,8,"Snow, Trail, PawStreak Brand",Winter,Yes,Brand-forward content — app promo
S007,2025-02,Snow,"Bailey snow-covered, panting, happy exhaustion",Bailey,"Flagstaff, AZ",Photo,—,Triumph / Satisfaction,"Instagram, Stories",@BaileyHuskeyCream,When she's finally tired (it took 4 hours),Mission accomplished. Chaos achieved.,7,Snow,Winter,No,Relatable dog parent content
S008,2025-02,Snow,"Stephen's face buried in Bailey's fluff, both laughing",Bailey + Stephen,Idaho (Feb 20),Photo,—,Love / Human-Dog Bond,"Stories, Founder",@PawStreakApp,I got lost in the fur again,This dog is 60% fluff and 100% my heart,10,"Snow, Idaho, Founder Story",Winter,Yes,EXCEPTIONAL — use for emotional brand post
T001,2024-08,Trail,"Bailey on mountain trail, looking back at camera",Bailey,"Lake Arrowhead, CA",Photo,—,Adventure / Invitation,"Instagram, Reels",@BaileyHuskeyCream,She always checks if you're keeping up,The trail is better when someone's waiting for you,9,"Trail, Adventure",Summer/Fall,No,Strong lead shot for adventure content
T002,2024-08,Trail,"Both dogs on rocky overlook, wide landscape",Bailey + Omi,"San Gabriel Mtns, CA",Photo,—,Epic / Achievement,Instagram,Both accounts,Summit dogs,They didn't complain once. I complained twice.,8,"Trail, Both Dogs, Adventure",Summer/Fall,No,Epic landscape — use for milestone posts
T003,2024-08,Trail,"Bailey sniffing trail, nose to ground",Bailey,"Lake Arrowhead, CA",Video,0:15,Curious / Investigative,"Reels, TikTok",@BaileyHuskeyCream,She's reading the newspaper,"Dogs have been reading trails for 10,000 years. She's doing important work.",7,Trail,Summer/Fall,No,Quirky/educational angle
T004,2024-08,Trail,"Dappled light through forest, dog silhouette",Bailey,"Lake Arrowhead, CA",Photo,—,Cinematic / Peaceful,Instagram,@BaileyHuskeyCream,Into the woods,Some days you don't need a destination,8,"Trail, Aesthetic",Summer/Fall,Yes,Hidden gem — gorgeous light
