id,name,city,state,category,lat,lng,address,website,dog_friendly_notes,featured
brewery-x-anaheim,Brewery X,Anaheim,CA,Brewery,33.850900,-117.850900,"3191 E La Palma Ave, Anaheim, CA 92806",https://www.brewery-x.com/,Large dog-friendly outdoor seating area commonly reported.,true
brewheim-anaheim,Brewheim,Anaheim,CA,Brewery,33.805200,-117.900300,"1931 E Wright Cir, Anaheim, CA 92806",https://www.brewheim.com/,Dog-friendly brewery patio is commonly reported.,false
golden-road-brewing-anaheim-anaheim,Golden Road Brewing Anaheim,Anaheim,CA,Brewery,33.803700,-117.896000,"2210 E Orangewood Ave, Anaheim, CA 92806",https://www.goldenroad.la/anaheim,Large dog-friendly outdoor patio commonly reported.,true
la-palma-dog-park-anaheim,La Palma Dog Park,Anaheim,CA,Dog Park,33.846800,-117.911200,"1151 N La Palma Pkwy, Anaheim, CA 92801",https://www.anaheim.net/,Off-leash dog park with small and large dog areas.,true
maxwell-dog-park-anaheim,Maxwell Dog Park,Anaheim,CA,Dog Park,33.831000,-117.968800,"2655 W Orange Ave, Anaheim, CA 92804",https://www.anaheim.net/,Dog park area in Maxwell Park; verify current rules.,false
olive-hills-dog-park-anaheim,Olive Hills Dog Park,Anaheim,CA,Dog Park,33.848300,-117.751700,"700 S Nohl Canyon Rd, Anaheim, CA 92807",https://www.anaheim.net/,Neighborhood dog park area; verify current off-leash rules.,false
yorba-regional-park-anaheim,Yorba Regional Park,Anaheim,CA,Park,33.870300,-117.741000,"7600 E La Palma Ave, Anaheim, CA 92807",https://www.ocparks.com/parks-trails/yorba-regional-park/,"Regional park with paved paths, picnic areas, and on-leash dog access.",false
anaheim-packing-district-anaheim,Anaheim Packing District,Anaheim,CA,Patio,33.831700,-117.911000,"440 S Anaheim Blvd, Anaheim, CA 92805",https://www.anaheimpackingdistrict.com/,Outdoor common areas and patios may allow dogs; verify vendor rules.,false
sweetwater-summit-regional-park-bonita,Sweetwater Summit Regional Park,Bonita,CA,Campground,32.670600,-117.004400,"3218 Summit Meadow Rd, Bonita, CA 91902",https://www.sdparks.org/content/sdparks/en/park-pages/Sweetwater.html,Leashed dogs are allowed in campground and designated park areas.,false
brea-wildcatters-dog-park-brea,Brea Wildcatters Dog Park,Brea,CA,Dog Park,33.932900,-117.889700,"3301 E Santa Fe Rd, Brea, CA 92821",https://www.ci.brea.ca.us/,Off-leash dog park area; verify current hours.,false
carbon-canyon-regional-park-brea,Carbon Canyon Regional Park,Brea,CA,Park,33.920100,-117.836300,"4442 Carbon Canyon Rd, Brea, CA 92823",https://www.ocparks.com/parks-trails/carbon-canyon-regional-park/,Regional park with trails and picnic areas; verify leash rules before visiting.,false
carbon-canyon-redwoods-brea,Carbon Canyon Redwoods,Brea,CA,Scenic Spot,33.921500,-117.837400,"4442 Carbon Canyon Rd, Brea, CA 92823",https://www.ocparks.com/parks-trails/carbon-canyon-regional-park,Leashed trail to a small redwood grove inside Carbon Canyon Regional Park.,true
lake-morena-county-park-campo,Lake Morena County Park,Campo,CA,Lake,32.680500,-116.517800,"2550 Lake Morena Dr, Campo, CA 91906",https://www.sdparks.org/content/sdparks/en/park-pages/LakeMorena.html/,Dogs are allowed in most county parks on leash.,false
batiquitos-lagoon-trail-carlsbad,Batiquitos Lagoon Trail,Carlsbad,CA,Trail,33.092400,-117.293200,"7380 Gabbiano Ln, Carlsbad, CA 92011",https://batiquitoslagoon.org/,Leashed dogs are allowed on the lagoon trail; keep pets out of habitat areas.,true
coronado-dog-beach-coronado,Coronado Dog Beach,Coronado,CA,Beach,32.690900,-117.177300,"100 Ocean Blvd, Coronado, CA 92118",https://www.coronado.ca.us,Off-leash dog beach near Sunset Park; leash required until beach area.,true
gunwhale-ales-costa-mesa,Gunwhale Ales,Costa Mesa,CA,Brewery,33.650000,-117.919800,"2960 Randolph Ave A, Costa Mesa, CA 92626",https://www.gunwhaleales.com/,Dog-friendly tasting room patio is commonly reported.,false
hola-adios-coffeehouse-costa-mesa,Hola Adios Coffeehouse,Costa Mesa,CA,Coffee,33.641600,-117.918300,"3033 Bristol St, Costa Mesa, CA 92626",https://holaadiosco.com/,Dog-friendly outdoor seating is commonly reported.,false
costa-mesa-bark-park-costa-mesa,Costa Mesa Bark Park,Costa Mesa,CA,Dog Park,33.672300,-117.910600,"890 Arlington Dr, Costa Mesa, CA 92626",https://www.costamesaca.gov/,Off-leash dog park with separate areas.,true
fairview-park-costa-mesa,Fairview Park,Costa Mesa,CA,Park,33.662700,-117.945800,"2525 Placentia Ave, Costa Mesa, CA 92627",https://www.costamesaca.gov/,Leashed dogs are allowed on designated park trails and open areas.,false
the-crack-shack-costa-mesa-costa-mesa,The Crack Shack Costa Mesa,Costa Mesa,CA,Restaurant,33.678100,-117.885300,"196 E 17th St, Costa Mesa, CA 92627",https://www.crackshack.com/,Dog-friendly outdoor patio seating is commonly reported.,false
talbert-regional-park-costa-mesa,Talbert Regional Park,Costa Mesa,CA,Trail,33.639100,-117.950900,"1298 Victoria St, Costa Mesa, CA 92627",https://www.ocparks.com/parks-trails/talbert-regional-park,Leashed dogs are allowed on designated trails.,false
station-craft-brewery-dana-point,Station Craft Brewery,Dana Point,CA,Brewery,33.467700,-117.699900,"34150 Pacific Coast Hwy, Dana Point, CA 92629",https://www.stationcraft.com/,Dog-friendly patio seating is commonly reported.,false
salt-creek-beach-park-dana-point,Salt Creek Beach Park,Dana Point,CA,Park,33.475600,-117.722000,"33333 S Pacific Coast Hwy, Dana Point, CA 92629",https://www.ocparks.com/parks-trails/salt-creek-beach,Leashed dogs are allowed in park areas; beach rules may restrict sand access.,false
dana-point-harbor-walk-dana-point,Dana Point Harbor Walk,Dana Point,CA,Scenic Spot,33.461900,-117.703400,"34571 Golden Lantern, Dana Point, CA 92629",https://danapointharbor.com/,Leashed harbor walk with outdoor dining nearby.,true
dana-strands-beach-overlook-dana-point,Dana Strands Beach Overlook,Dana Point,CA,Scenic Spot,33.473000,-117.722800,"34199 Selva Rd, Dana Point, CA 92629",https://www.danapoint.org/,Leashed dogs are allowed on overlook paths; beach rules may restrict sand access.,false
del-mar-north-beach-del-mar,Del Mar North Beach,Del Mar,CA,Beach,32.966900,-117.268400,"3200 Camino Del Mar, Del Mar, CA 92014",https://www.delmar.ca.us/206/Dog-Friendly-Beaches/,Dog access varies by season and time; check posted rules.,true
viewpoint-brewing-company-del-mar,Viewpoint Brewing Company,Del Mar,CA,Brewery,32.971200,-117.256400,"2201 San Dieguito Dr, Del Mar, CA 92014",https://viewpointbrewing.com/,Dog-friendly outdoor patio near the lagoon.,true
del-mar-river-path-del-mar,Del Mar River Path,Del Mar,CA,Trail,32.960900,-117.264600,"San Dieguito Dr, Del Mar, CA 92014",,Leashed path near river mouth and North Beach.,false
san-dieguito-lagoon-river-path-del-mar,San Dieguito Lagoon River Path,Del Mar,CA,Trail,32.969400,-117.260300,"Jimmy Durante Blvd, Del Mar, CA 92014",https://www.sdrp.org/,Leashed path near lagoon and river habitat.,false
cardiff-state-beach-encinitas,Cardiff State Beach,Encinitas,CA,Beach,33.010400,-117.280300,"2504 S Coast Hwy 101, Cardiff, CA 92007",https://www.parks.ca.gov,Dogs are allowed on leash at Cardiff Reef and Seaside south of Tower 16.,true
